Ballot No,Name,Post,Total,Position
1,আতকব্ োসান,আন্তর্জাতিক সম্পাদক,1091,6
2,"ইমরান তময়া
(সাদমান)",আন্তর্জাতিক সম্পাদক,750,8
3,এইd. এ. এম. ফাতেম কতব্র,আন্তর্জাতিক সম্পাদক,474,13
4,"জসীমউজদ্দন খান
(খান জসীম)",আন্তর্জাতিক সম্পাদক,9706,1
5,িাসতনম তব্ন মােফুজ,আন্তর্জাতিক সম্পাদক,1141,5
6,নাতফজ ব্াশার আতলফ,আন্তর্জাতিক সম্পাদক,1563,4
7,মুস্তাকীম মােমুদ রােীম,আন্তর্জাতিক সম্পাদক,795,7
8,মমহেদী োসান,আন্তর্জাতিক সম্পাদক,3231,3
9,মমা. শাতকব্ মাোমুদ,আন্তর্জাতিক সম্পাদক,604,10
10,"মমাোঃ আিাউর রেমান
(অপু)",আন্তর্জাতিক সম্পাদক,595,11
11,মমাোঃ মিাফাজ্জল েক আকাশ,আন্তর্জাতিক সম্পাদক,574,12
12,মমাোঃ নাঈমুদ্দীন,আন্তর্জাতিক সম্পাদক,725,9
13,মমাোম্মদ আলী,আন্তর্জাতিক সম্পাদক,216,14
14,মমাোম্মদ সাতকব্,আন্তর্জাতিক সম্পাদক,3922,2
1,উহম্ম ছালমা,"কমনরুম, রিডিংরুম ও ক্যাফেটেরিয়া বিষয়ক সম্পাদক",9920,1
2,মdমন ফাতরয়া ইসলাম মমঘলা,"কমনরুম, রিডিংরুম ও ক্যাফেটেরিয়া বিষয়ক সম্পাদক",2702,3
3,"মজইসান ব্কুল তরয়া
(মজরী)","কমনরুম, রিডিংরুম ও ক্যাফেটেরিয়া বিষয়ক সম্পাদক",955,8
4,িাজজন মমাোম্মদ আলতব্,"কমনরুম, রিডিংরুম ও ক্যাফেটেরিয়া বিষয়ক সম্পাদক",661,10
5,নূজজয়া োতসন (রাশা),"কমনরুম, রিডিংরুম ও ক্যাফেটেরিয়া বিষয়ক সম্পাদক",1870,5
6,"ফারজানা আক্তার
(তমিু)","কমনরুম, রিডিংরুম ও ক্যাফেটেরিয়া বিষয়ক সম্পাদক",1120,6
7,তমিু আক্তার,"কমনরুম, রিডিংরুম ও ক্যাফেটেরিয়া বিষয়ক সম্পাদক",2240,4
