Post,Winner,Winner Votes,Total Votes,Percentage
আন্তর্জাতিক সম্পাদক,জসীমউদ্দিন খান (খান জসীম),9706,25387,(38.23%)
কমনরুম,রিডিংরুম ও ক্যাফেটেরিয়া বিষয়ক সম্পাদক,উম্মে ছালমা,9920,26012,(38.14%)
ক্যারিয়ার ডেভেলপমেন্ট সম্পাদক,মো: মাজহারুল ইসলাম,9344,25742,(36.3%)
ক্রীড়া সম্পাদক,আরমান হোসেন,7255,26459,(27.42%)
গবেষণা ও প্রকাশনা সম্পাদক,সানজিদা আহমেদ তন্বি,11778,25741,(45.76%)
ছাত্র পরিবহণ সম্পাদক,মোঃ আসিফ আব্দুল্লাহ,9061,26235,(34.54%)
বিজ্ঞান ও প্রযুক্তি সম্পাদক,মোঃ ইকবাল হায়দার,7833,25009,(31.32%)
মানবাধিকার ও আইন বিষয়ক সম্পাদক,মোঃ জাকারিয়া (সাখাওয়াত জাকারিয়া),11747,25048,(46.9%)
মুক্তিযুদ্ধ ও গণতান্ত্রিক আন্দোলন সম্পাদক,ফাতেমা তাসনিম জুমা,10631,25455,(41.76%)
সদস্য,সাবিকুন নাহার তামান্না,10084,274682,(3.67%)
সমাজসেবা সম্পাদক,মোঃ যুবাইর বিন নেছারী (এবি জুবায়ের),7608,25907,(29.37%)
সহ-সভাপতি,মোঃ আবু সাদিক (সাদিক কায়েম),14042,29259,(47.99%)
সহ-সাধারণ সম্পাদক,মুহাঃ মহিউদ্দীন খান,11772,28272,(41.64%)
সাধারণ সম্পাদক,এস,এম,ফরহাদ,10794,28677,(37.64%)
সাহিত্য ও সাংস্কৃতিক সম্পাদক,মুসাদ্দিক আলী ইবনে মোহাম্মাদ,7782,25482,(30.54%)
স্বাস্থ্য ও পরিবেশ সম্পাদক,এম এম আল মিনহাজ (আবদুল্লাহ আল মিনহাজ ),7038,25283,(27.84%)
